Team,DRtg/A
Oklahoma City Thunder,107.61
Cleveland Cavaliers,112.91
Boston Celtics,111.92
Minnesota Timberwolves,111.29
LA Clippers,110.10
Houston Rockets,110.57
Memphis Grizzlies,113.09
Denver Nuggets,116.18
New York Knicks,114.79
Golden State Warriors,111.55
Milwaukee Bucks,113.81
Detroit Pistons,113.21
Indiana Pacers,114.83
Los Angeles Lakers,114.46
Sacramento Kings,116.24
Miami Heat,113.41
Orlando Magic,109.77
Dallas Mavericks,115.76
Atlanta Hawks,116.05
Chicago Bulls,115.98
San Antonio Spurs,117.06
Portland Trail Blazers,114.33
Phoenix Suns,119.09
Toronto Raptors,115.02
Philadelphia 76ers,118.55
Brooklyn Nets,115.74
Utah Jazz,120.10
New Orleans Pelicans,119.49
Charlotte Hornets,116.67
Washington Wizards,119.01
